,0,1
40706,1124,21
1129,384,10936
40713,3772,55
41007,2352,72
4329,470,38
41,214,10
4153,180,67
4340,383,6
43,306,15
446,200,9
41005,3660,72
450,264,6
1159,259,10936
463,180,77
40707,3772,55
40678,3200,15
464,250,3
40708,3772,55
48,151,8
458,841,71
475,400,16
40701,5000,34
53,270,14
50,958,28
40601,333,2
512,2001,2
61,150,5
1133,347,10936
59,351,35
469,797,22
40666,6598,169
721,200,11
717,508,11
1163,386,10936
694,310,9
724,468,12
54,846,19
730,250,6
40997,4704,73
715,1000,26
40998,4704,73
41000,4704,71
733,209,7
732,250,51
723,1000,26
375,9961,15
741,1024,6
41004,4704,73
744,250,6
745,159,21
747,167,20
44,4601,58
746,250,26
748,163,8
28,5620,65
743,1000,6
718,1000,101
749,500,6
740,1000,11
756,159,16
742,500,101
753,194,33
728,4052,8
763,250,11
764,450,12
750,500,8
765,475,12
767,475,12
769,250,51
720,4177,11
388,204,5833
776,250,6
773,250,26
770,625,7
778,252,15
751,1000,11
766,500,51
774,662,4
788,186,61
793,250,11
794,250,26
792,500,6
796,209,37
801,185,3
779,500,26
795,662,4
811,264,14
737,3107,7
818,310,17
814,468,3
799,1000,6
820,235,13
813,1000,6
830,250,11
772,2178,4
832,250,26
827,662,4
826,576,37
183,4177,11
797,1000,51
40971,1000,20
834,250,101
838,500,26
806,1000,51
841,950,10
860,380,3
853,506,15
863,250,11
851,240,125
845,1000,11
855,500,11
40677,3200,49
849,1000,26
870,500,6
873,250,51
880,284,11
877,250,51
869,500,11
879,500,26
895,222,3
886,500,8
900,400,7
896,500,26
866,1000,51
888,500,51
907,400,8
906,400,8
909,400,8
908,400,8
911,250,6
903,1000,26
725,8192,9
1160,410,10936
904,1000,51
1156,275,10936
915,315,19
912,1000,6
910,1000,11
918,250,51
925,323,5
933,250,26
935,250,11
913,1000,11
926,500,26
931,662,4
8,345,6
914,2001,2
936,500,11
941,189,24
1143,363,10936
917,1000,26
947,559,47
943,500,11
1140,324,10936
934,1156,40
735,8192,13
951,559,47
950,559,47
937,500,51
969,150,5
955,151,8
949,559,47
973,178,14
1149,458,10936
871,3848,6
952,214,10
962,2000,7
954,531,105
987,500,37
1123,405,10936
970,841,71
996,214,10
958,2310,20
948,2178,4
997,625,5
994,846,19
923,8641,6
60,5000,41
803,7129,6
991,1728,22
1126,412,10936
761,8192,22
983,1473,25
1515,571,1301
971,2000,77
995,2000,48
1162,322,10936
978,2000,217
40498,4898,12
847,6574,15
980,5620,65
976,9961,15
40499,5500,41
979,5000,41
1127,421,10936
1137,546,10936
807,8192,9
46,3190,288
953,3190,288
819,9517,7
816,8192,9
40670,3186,361
40910,3686,401
1148,468,10936
1150,470,10936
4537,9901,20
1153,484,10936
1165,542,10936
1158,604,10936
833,8192,33
1535,9989,4
397,313,5805
40645,1600,2970
1491,1600,65
1039,4229,1618
1493,1599,65
384,336,7903
1145,630,10936
4538,9873,33
4136,600,20001
1492,1600,65
1085,159,61360
394,918,3013
1084,220,22284
752,8192,33
386,913,3101
387,414,6430
1541,8654,4
1540,9285,4
4134,3751,1777
392,1003,3183
20,2000,1649
1106,190,16064
1134,1545,10936
1139,1545,10936
1130,1545,10936
383,690,8262
1128,1545,10936
391,1504,2887
400,878,7455
385,927,10129
1086,283,54622
1087,283,54622
4552,5665,105
1083,214,45102
389,2463,2001
1233,945,6374
